,subregion,estimate,se,df,t.stat,p.value,lwr,upr,yr,Sust_limit
1,fc,0.609789288,0.066385415,134,9.1855913,6.74E-16,0.477018459,0.742560117,2003,0.5
14,fe,0.206073962,0.077919351,130,2.644708415,0.009183602,0.050235261,0.361912664,2003,0.5
27,fs,0.270989931,0.102783831,89,2.63650351,0.009883394,0.065422269,0.476557593,2003,0.5
40,fw,0.262675076,0.142433923,77,1.84418901,0.06900207,0,0.547542922,2003,0.5
2,fc,0.640976949,0.059562968,134,10.76133326,7.54E-20,0.521851013,0.760102885,2004,0.5
15,fe,0.273298509,0.082577742,130,3.309590477,0.001209203,0.108143025,0.438453993,2004,0.5
28,fs,0.294688455,0.085459154,89,3.448295956,0.000863792,0.123770147,0.465606763,2004,0.5
41,fw,0.368732008,0.114488614,77,3.220687153,0.001874179,0.13975478,0.597709236,2004,0.5
3,fc,0.462089235,0.072055836,134,6.412932798,2.26E-09,0.317977563,0.606200908,2005,0.5
16,fe,0.192911184,0.084437546,130,2.284661185,0.023953023,0.024036092,0.361786276,2005,0.5
29,fs,0.286844448,0.071434918,89,4.015465485,0.000123598,0.143974612,0.429714285,2005,0.5
42,fw,0.347693501,0.199361736,77,1.744033273,0.085144032,0,0.746416973,2005,0.5
4,fc,0.504930475,0.097232463,134,5.193023609,7.51E-07,0.310465549,0.6993954,2006,0.5
17,fe,0.1851255,0.082520651,130,2.243383893,0.026564401,0.020084197,0.350166803,2006,0.5
30,fs,0.35830302,0.071407645,89,5.017712347,2.66E-06,0.215487731,0.501118309,2006,0.5
43,fw,0.176024153,0.313822969,77,0.560902706,0.576492497,0,0.80367009,2006,0.5
5,fc,0.741729547,0.077658495,134,9.551170745,8.32E-17,0.586412556,0.897046537,2007,0.5
18,fe,0.231110157,0.080143974,130,2.883687244,0.004601564,0.070822208,0.391398106,2007,0.5
31,fs,0.356873763,0.078247035,89,4.560859873,1.62E-05,0.200379692,0.513367833,2007,0.5
44,fw,0.838788556,0.157158295,77,5.337221021,9.22E-07,0.524471966,1,2007,0.5
6,fc,0.739479978,0.074850671,134,9.879403458,1.26E-17,0.589778636,0.88918132,2008,0.5
19,fe,0.436368897,0.072490898,130,6.019637095,1.67E-08,0.291387102,0.581350693,2008,0.5
32,fs,0.361910374,0.07812344,89,4.632545288,1.23E-05,0.205663494,0.518157254,2008,0.5
45,fw,0.84994594,0.135233071,77,6.285045027,1.81E-08,0.579479798,1,2008,0.5
7,fc,0.620588292,0.095881926,134,6.47242202,1.67E-09,0.428824439,0.812352144,2009,0.5
20,fe,0.216455628,0.068016726,130,3.182388203,0.001827442,0.080422175,0.352489081,2009,0.5
33,fs,0.437190922,0.06713419,89,6.512194799,4.28E-09,0.302922542,0.571459302,2009,0.5
46,fw,0.784893669,0.097956576,77,8.01266951,9.62E-12,0.588980517,0.980806821,2009,0.5
8,fc,0.708299486,0.082976338,134,8.536162219,2.65E-14,0.542346809,0.874252163,2010,0.5
21,fe,0.453705542,0.070655423,130,6.421383136,2.32E-09,0.312394696,0.595016389,2010,0.5
34,fs,0.37089175,0.069368565,89,5.346683328,6.86E-07,0.23215462,0.50962888,2010,0.5
47,fw,0.297348235,0.108339355,77,2.744600378,0.007535751,0.080669525,0.514026944,2010,0.5
9,fc,0.895815266,0.066950101,134,13.38034229,1.85E-26,0.761915064,1,2011,0.5
22,fe,0.583495547,0.067090916,130,8.697087212,1.29E-14,0.449313715,0.717677378,2011,0.5
35,fs,0.49051385,0.062887116,89,7.799910103,1.12E-11,0.364739618,0.616288081,2011,0.5
48,fw,0.785396299,0.117546779,77,6.681563795,3.31E-09,0.550302742,1,2011,0.5
10,fc,0.802429977,0.077477109,134,10.35699438,7.91E-19,0.64747576,0.957384194,2012,0.5
23,fe,0.551733305,0.064517644,130,8.55166541,2.89E-14,0.422698017,0.680768593,2012,0.5
36,fs,0.394801356,0.045773531,89,8.625101584,2.24E-13,0.303254294,0.486348419,2012,0.5
49,fw,0.847092582,0.092947188,77,9.11369783,7.24E-14,0.661198206,1,2012,0.5
11,fc,0.718467183,0.090360391,134,7.95112959,6.80E-13,0.5377464,0.899187966,2013,0.5
24,fe,0.510528572,0.067034674,130,7.615888028,4.77E-12,0.376459224,0.644597921,2013,0.5
37,fs,0.376717566,0.050292564,89,7.49052214,4.76E-11,0.276132438,0.477302695,2013,0.5
50,fw,0.60308799,0.097113867,77,6.210112012,2.49E-08,0.408860257,0.797315724,2013,0.5
12,fc,0.763994876,0.071500891,134,10.68510988,1.18E-19,0.620993094,0.906996658,2014,0.5
25,fe,0.451788952,0.073413839,130,6.154002537,8.70E-09,0.304961274,0.59861663,2014,0.5
38,fs,0.393137135,0.043328617,89,9.07338292,2.65E-14,0.3064799,0.479794369,2014,0.5
51,fw,0.888003897,0.085390814,77,10.39929072,2.52E-16,0.71722227,1,2014,0.5
13,fc,0.742185797,0.085336584,134,8.697158466,1.07E-14,0.571512628,0.912858965,2015,0.5
26,fe,0.412142833,0.072769758,130,5.663655379,9.08E-08,0.266603316,0.557682349,2015,0.5
39,fs,0.415528389,0.044688957,89,9.298234149,9.06E-15,0.326150474,0.504906303,2015,0.5
52,fw,0.793357019,0.088859818,77,8.928186358,1.65E-13,0.615637382,0.971076656,2015,0.5