,Location,Year,BestFatalityEstimate
1,Central African Republic,2011,53
2,Central African Republic,2013,285
3,Central African Republic,2014,997
4,Chad,2006,214
5,Chad,2007,126
6,DR Congo (Zaire),2002,2969
7,DR Congo (Zaire),2003,923
8,DR Congo (Zaire),2004,51
9,DR Congo (Zaire),2007,25
10,DR Congo (Zaire),2008,87
11,DR Congo (Zaire),2011,26
12,DR Congo (Zaire),2012,244
13,DR Congo (Zaire),2013,107
14,DR Congo (Zaire),2014,135
15,Ethiopia,2002,716
16,Ethiopia,2003,505
17,Ethiopia,2004,168
18,Ethiopia,2005,145
19,Ethiopia,2006,358
20,Ethiopia,2007,40
21,Ethiopia,2008,224
22,Ethiopia,2009,34
23,"Ethiopia, South Sudan",2012,424
24,Ghana,2002,36
25,Ghana,2008,55
26,Guinea,2011,25
27,Guinea,2013,98
28,Ivory Coast,2002,27
29,Ivory Coast,2003,155
30,Ivory Coast,2004,172
31,Ivory Coast,2005,128
32,Ivory Coast,2011,33
33,Kenya,2005,159
34,Kenya,2006,157
35,Kenya,2008,346
36,Kenya,2009,51
37,Kenya,2010,55
38,Kenya,2011,84
39,Kenya,2012,190
40,Kenya,2013,124
41,Kenya,2014,122
42,"Kenya, Ethiopia",2005,36
43,"Kenya, Ethiopia",2007,27
44,"Kenya, Ethiopia",2009,54
45,"Kenya, Ethiopia",2012,27
46,"Kenya, Somalia",2004,69
47,"Kenya, Sudan",2011,47
48,"Kenya, Uganda",2006,34
49,"Kenya, Uganda",2008,88
50,Mali,2012,81
51,Mali,2013,28
52,Mali,2014,76
53,Nigeria,2002,473
54,Nigeria,2003,331
55,Nigeria,2004,1899
56,Nigeria,2005,162
57,Nigeria,2006,200
58,Nigeria,2007,100
59,Nigeria,2008,233
60,Nigeria,2009,33
61,Nigeria,2010,795
62,Nigeria,2011,1347
63,Nigeria,2012,450
64,Nigeria,2013,797
65,Nigeria,2014,1260
66,Senegal,2006,124
67,Uganda,2003,320
68,Uganda,2005,84
69,Uganda,2007,34
70,Uganda,2009,38